Lineal	Estadistica	Probabilidad	Finanzas	Calculo
97	92	77	72	96
83	88	90	75	96
95	83	81	71	96
75	82	73	75	83
83	73	75	75	78
73	71	82	69	88
71	77	75	70	83
79	80	78	67	71
82	70	68	67	85
84	82	70	67	60
72	74	70	68	69
75	77	69	68	59
70	60	74	60	78
85	73	68	61	52
51	75	70	62	88
80	74	66	59	55
64	79	63	58	68
62	79	71	60	60
82	56	71	62	60
51	59	72	68	77
64	71	63	67	61
69	51	72	54	79
32	68	72	68	82
69	63	59	67	62
74	59	66	52	68
74	63	56	64	59
64	66	65	66	51
38	54	60	62	96
66	62	75	55	50
52	55	59	62	79
50	79	60	57	60
66	59	63	64	52
60	37	64	66	76
51	52	58	59	83
56	69	61	50	66
76	50	66	59	50
66	66	67	54	47
65	52	65	61	55
62	70	64	54	48
60	73	63	59	40
43	65	69	58	59
68	58	59	56	52
61	73	59	51	49
66	62	63	46	55
66	71	56	43	56
59	67	61	57	46
69	59	55	53	54
42	68	63	61	56
55	70	57	59	48
68	66	59	47	47
51	67	60	59	49
37	63	67	48	66
69	67	57	44	41
79	60	57	20	61
57	66	59	33	60
60	53	58	26	76
55	45	51	56	65
58	54	64	52	39
63	53	48	39	64
59	56	56	37	58
82	54	46	27	57
68	48	51	49	48
54	52	60	52	44
38	61	50	61	45
55	46	56	53	44
79	63	47	27	34
61	51	53	35	48
51	62	47	32	55
37	61	62	40	46
54	40	60	52	51
66	50	57	34	32
30	56	46	52	54
66	47	55	20	45
50	44	53	51	33
33	61	60	30	46
69	60	48	28	24
38	42	41	50	55
28	52	58	31	55
43	48	46	53	30
50	34	53	38	40
23	19	61	52	55
27	61	53	22	37
35	50	53	28	33
35	48	49	33	32
25	40	54	41	33
32	40	42	40	36
25	36	25	25	35
20	50	31	14	29
