"","nOrders","nItemsOrdered","nItemsSold","salesOrdered","salesSold","returnRatio","shareOwnBrand","shareSale","shareVoucher","crDuration","monetaryReturnRatio","meanDaysBetwOrders","salesPerOrder","salesPerItem","itemsPerOrder","itemsSoldPerOrder","customerSatis"
"1",104,138,66,37813.25,18031.45,0.521739130434783,0.54,0.52,0.09,1472,0.523144664899209,14,173.38,273.2,1.33,0.63,5
"2",17,21,4,10652.6,1499.86,0.80952380952381,0.48,0.67,0.1,1506,0.859202448228601,94,88.23,374.96,1.24,0.24,2.9
"3",5,6,3,1225.92,758.99,0.5,1,0.17,0.5,1453,0.380881297311407,363,151.8,253,1.2,0.6,2.8
"4",18,27,3,31529.11,3803.45,0.888888888888889,0.15,0.19,0.07,1340,0.87936703573301,79,211.3,1267.82,1.5,0.17,3.1
"5",21,41,35,17935.37,14246.21,0.146341463414634,0.63,0.12,0,1449,0.205691881461046,72,678.39,407.03,1.95,1.67,5
"6",2,2,1,1530.96,9.99,0.5,0,0,0,749,0.993474682552124,749,5,9.99,1,0.5,2.7
"7",18,29,11,4392.47,1686.13,0.620689655172414,1,0.28,0.52,997,0.61613169811063,59,93.67,153.28,1.61,0.61,3
"8",12,14,11,2048.71,1764.19,0.214285714285714,1,0.07,0.29,1513,0.13887763519483,138,147.02,160.38,1.17,0.92,3.9
"9",14,19,9,7121.8,2673.56,0.526315789473684,0.42,0.37,0.16,1499,0.624594905782246,115,190.97,297.06,1.36,0.64,2.9
"10",7,13,2,2978.46,776.33,0.846153846153846,0.31,0.85,0,1522,0.739351879830516,254,110.9,388.17,1.86,0.29,1.8
"11",5,6,5,1706.37,1533.25,0.166666666666667,0.83,0.17,0,1486,0.10145513575602,372,306.65,306.65,1.2,1,3.8
"12",12,17,9,5362.01,2981.65,0.470588235294118,0.71,0.65,0.24,1393,0.443930540972509,127,248.47,331.29,1.42,0.75,3
"13",4,5,1,1334.3,216,0.8,1,0.6,0,1187,0.83811736491044,396,54,216,1.25,0.25,1.1
"14",52,62,6,22019.04,1371.18,0.903225806451613,0.63,0.34,0.4,1517,0.937727530355547,30,26.37,228.53,1.19,0.12,3.7
"15",4,4,4,1741.76,1741.76,0,0.5,0.5,0,1243,0,414,435.44,435.44,1,1,3.5
"16",4,5,4,1148.33,893.25,0.2,1,0.4,0.2,351,0.222131268886122,117,223.31,223.31,1.25,1,3
"17",2,3,3,467.08,467.08,0,1,0,1,922,0,922,233.54,155.69,1.5,1.5,2.7
"18",7,10,7,4350.45,3959.05,0.3,0.8,0.3,0,1424,0.08996770449034,237,565.58,565.58,1.43,1,4.1
"19",9,10,3,6263.7,1924.79,0.7,0.1,0.6,0.2,1032,0.69270718584862,129,213.87,641.6,1.11,0.33,2.9
"20",3,5,2,1055.2,328.2,0.6,0.8,0,0.6,1224,0.688968915845337,612,109.4,164.1,1.67,0.67,2.3
"21",19,21,13,4817.3,2929.94,0.380952380952381,0.81,1,0,1444,0.391787930998692,80,154.21,225.38,1.11,0.68,3.7
"22",26,33,13,7485.42,2801.85,0.606060606060606,1,0.85,0.12,1463,0.625692345920469,59,107.76,215.53,1.27,0.5,3.4
"23",2,2,2,205.02,205.02,0,1,0,1,1249,0,1249,102.51,102.51,1,1,1.6
"24",9,13,1,2355.37,139.57,0.923076923076923,1,0.15,0.62,1358,0.940743917091582,170,15.51,139.57,1.44,0.11,2
"25",6,10,6,1922.1,1153.53,0.4,1,0,0.1,920,0.399859528640549,184,192.25,192.25,1.67,1,3.4
"26",19,30,11,8417.78,1940.53,0.633333333333333,0.7,0.37,0.03,679,0.769472473740107,38,102.13,176.41,1.58,0.58,3.3
"27",4,7,7,3532,3532,0,0,0.14,0.29,657,0,219,883,504.57,1.75,1.75,4.8
"28",15,17,10,2906.61,1926.23,0.411764705882353,0.47,0.82,0.18,1423,0.337293272919312,102,128.42,192.62,1.13,0.67,2.8
"29",7,7,2,1635.64,433.86,0.714285714285714,1,0.71,0.14,1286,0.734746032134211,214,61.98,216.93,1,0.29,2.5
"30",110,184,9,71551.35,2866.69,0.951086956521739,0.4,0.53,0.07,1472,0.959935207372048,14,26.06,318.52,1.67,0.08,5
"31",7,8,6,1867.71,1392.6,0.25,1,0,0.12,1397,0.254381033458085,233,198.94,232.1,1.14,0.86,3.6
"32",5,6,2,1359.65,303.82,0.666666666666667,0.33,0.5,0,1116,0.776545434486816,279,60.76,151.91,1.2,0.4,2.3
"33",42,47,44,9267.13,8682.58,0.0638297872340425,0.81,0.81,0.06,1432,0.0630777813627303,35,206.73,197.33,1.12,1.05,5
"34",21,26,14,4544.55,2407.18,0.461538461538462,1,0.88,0,1008,0.470314992683544,50,114.63,171.94,1.24,0.67,3.5
"35",6,7,3,2858.42,1372.56,0.571428571428571,0.14,0.43,0,1428,0.519818641067443,286,228.76,457.52,1.17,0.5,3.3
"36",4,4,2,773.29,418.15,0.5,1,1,0.25,1275,0.459258492932794,425,104.54,209.07,1,0.5,1.3
"37",15,22,1,3195.69,87.3,0.954545454545455,0.82,0.77,0.05,1373,0.9726819560095,98,5.82,87.3,1.47,0.07,2.2
"38",4,5,5,4429.15,4429.15,0,0.6,0,0.2,1213,0,404,1107.29,885.83,1.25,1.25,4.6
